id,name,latitude,longitude,country_code,timezone,address
522e5d98-7f72-11f0-89ed-325096b39f47,Bordeaux St-Jean,44.825873,-0.556697,FR,Europe/Paris,"Château des Bordeaux, Chemin du Pavillon, 72540 Amné, France"
522e5dca-7f72-11f0-9903-325096b39f47,Borgo Valsugana Est,46.052304,11.463889,IT,Europe/Rome,"Borgo Valsugana Est, Via Giuseppe Gozzer, 38051 Borgo Valsugana TN, Italy"
522e5e06-7f72-11f0-9abc-325096b39f47,Bottrop Hbf,51.509538,6.936921,DE,Europe/Berlin,"Bottrop Hauptbahnhof, 46242 Bottrop, Germany"
522e5e42-7f72-11f0-a6fe-325096b39f47,Boulogne-sur-Mer Ville,50.71570,1.60964,FR,Europe/Paris,"Boulogne Ville, Boulevard Voltaire, 62200 Boulogne-sur-Mer, France"
522e5e7e-7f72-11f0-aa98-325096b39f47,Bourg-en-Bresse,46.200351,5.215063,FR,Europe/Paris,"Bourg-en-Bresse, ARA, France"
5e2c265c-7f72-11f0-825c-325096b39f47,Bourgneuf-en-Retz,47.0469634,-1.9551942,FR,Europe/Paris,"Bourgneuf-en-Retz, Villeneuve-en-Retz, PDL, France"
5e2c281e-7f72-11f0-aa90-325096b39f47,Bourgneuf-en-Retz Ecole,47.04216,-1.94913,FR,Europe/Paris,"Cimetière de Bourgneuf-en-Retz, 44580 Villeneuve-en-Retz, France"
5e2c288c-7f72-11f0-b83e-325096b39f47,Bouzonville,49.2899739,6.5293736,FR,Europe/Paris,"Bouzonville, GES, France"
5e2c28d2-7f72-11f0-990a-325096b39f47,Bradford Interchange,53.791196,-1.749701,GB,Europe/London,"Barnsley Interchange, Eldon Street North, Barnsley, S70 1SE, United Kingdom"
5e2c2922-7f72-11f0-9fe6-325096b39f47,Bratislava hl.st.,48.158908,17.106463,SK,Europe/Bratislava,"Bratislava main station, Franz Liszt Square, 811 04 Bratislava, Slovakia"
5e2c295e-7f72-11f0-85af-325096b39f47,Braunschweig Hbf,52.252236,10.539699,DE,Europe/Berlin,"Braunschweig Hauptbahnhof, Berliner Platz 1, 38102 Brunswick, Germany"
5e2c29a4-7f72-11f0-9a70-325096b39f47,Bremen Hbf,53.083477,8.813833,DE,Europe/Berlin,"Bremen Hauptbahnhof, Bahnhofsplatz 15, 16, 28195 Bremen, Germany"
5e2c29e0-7f72-11f0-9d91-325096b39f47,Bremerhaven Hbf,53.534916,8.599557,DE,Europe/Berlin,"Bremerhaven Hbf Bf, 27554 Bremerhaven, Germany"
5e2c2a1c-7f72-11f0-81f0-325096b39f47,Brienz,46.7548380000,8.0389270000,CH,Europe/Zurich,"Brienz (BE), BE, Switzerland"
5e2c2a62-7f72-11f0-a3d5-325096b39f47,Brig Bahnhof,46.318933,7.988246,CH,Europe/Zurich,"Brig Bahnhof, Bahnhofplatz, 3900 Brig-Glis, Switzerland"
5e2c2a9e-7f72-11f0-bc9d-325096b39f47,Brignoles,43.40595166064920,6.05647087097168,FR,Europe/Paris,"Brignoles (Brignoles), VR, France"
5e2c2ada-7f72-11f0-9401-325096b39f47,Brno hl.n.,49.190537,16.612775,CZ,Europe/Prague,"Brno hlavní nádraží, Nádražní 418/1, 601 69 Brno, Czechia"
